"Site","Human_pop","PP","SST","SS","US","S4","S32","PROC4","PLC4","PROC32","PLC32","SC"
"Guiwan",1661.954807,127.8980255,27.3395081817127,0.04137581448335,0.0503346664542666,22.19983074,8.351502883,3.888313926,15.3399354,0.287412409,3.191169153,1.366443687
"Chaikou",1661.954807,131.7845917,27.3078689262515,0.0839493567666315,0.0245542404366921,39.58947539,28.06463556,2.722088935,8.519395174,0.630960702,1.913844757,2.113902932
"Dabaisha",1661.954807,127.8980255,27.3395081817127,0.015697441551484,0.00604624179013069,22.30836578,10.64565313,3.920314892,15.53931545,0.265981409,1.967383596,1.867156946
"Shilang",1661.954807,127.8980255,27.3078689262515,0.0394190049596522,0.0444909521022196,39.30561051,27.33212752,3.260032369,10.51086861,0.570121382,1.862617002,1.564496014
"Gongguan",1661.954807,131.7845917,27.3078689262515,0.0204861887893056,0.0308351271887142,29.09038504,15.58284241,4.145023689,14.74382958,0.461408904,2.247844231,2.320061939
"Tiaoshi",21949.3672,203.3996582,27.3977049217849,0.00406325299024401,0.0201616394274193,32.2030354,15.002352,4.253334875,14.23422424,0.467928568,2.559737999,1.629970218
"Jialeshui",10330.36636,212.2125855,27.2454097935411,0.0100436377899023,0.00446261462831642,40.30842413,28.00741736,4.22716882,13.71109981,0.567475587,2.012121712,1.60834375
"Houbihu",20001.09941,203.3996582,27.341311532943,0.0056691598472951,0.0425725417689959,30.34686593,23.78595766,3.859418431,14.38538626,0.548394726,1.788456723,1.969621321
"Leidashih",16286.91223,203.3996582,27.4106557877337,0.00765664970432438,0.00265112108556279,26.94645539,12.68201553,4.70024999,18.79859307,0.46415179,2.837470925,1.840241676
"Dingbaisha",15075.69192,210.7818604,27.4106557877337,0.0076163447233743,0.00745171435195514,26.0612291,15.35913728,3.687989622,13.94803848,0.344884744,1.599592065,2.069537126
"GreenGrassland",2251.798154,143.8239441,27.4232788085938,0.0180331309894457,0.0521274750065451,31.98746146,22.27736628,4.518047768,14.83917477,0.2802628,1.027367587,1.564496014
"Yayo",2222.010904,139.738739,27.4518032699335,0.0179785778846869,0.0155469068562545,22.2217703,10.27707478,4.332013857,17.97290376,0.252175708,1.970182766,1.782982376
"LionRock",2236.129477,133.2142334,27.4100000662882,0.036667197683619,0.00853119782808393,23.57169302,11.79083927,3.76104312,14.9142209,0.267468585,1.891691037,1.987262954
"HenRock",2236.129477,133.2142334,27.4100000662882,0.0331828386457229,0.00866614788521908,34.22675659,20.34777989,4.423259458,14.7385065,0.503470566,2.212128545,1.438023212
"Dongchin",2236.129477,125.0897293,27.4100000662882,0.0119702213326493,0.0213238129511625,28.30385426,12.79411309,4.638709619,17.502046,0.416605867,2.338413654,1.447847275
"Jiamuzi",17579.20596,169.2413635,27.0372130597224,0.0165645222657201,0.0127329732278438,42.57564652,26.55628262,4.050399513,13.58016037,0.674942552,2.683857202,1.701292044
"Jihui",10312.22631,152.0771332,26.8962294781794,0.00390293285691983,0.0375411659502357,34.07340805,27.9855033,3.540742394,12.92652433,0.552413107,1.917740502,2.132500255
"Xinshe",8055.226845,138.4503021,26.7706557414571,0.0125399644945215,0.021406766636872,39.85886023,24.25522302,3.763250147,11.63905279,0.744436237,2.456103626,2.277650925
"Jiqi",9217.632745,138.4503021,26.7706557414571,0.0157117892467212,0.0281476170841059,32.64150114,25.04762455,3.381570831,12.10043851,0.509965116,2.097621206,1.9889281
"Fenniaolin",26868.87607,166.0717011,26.3388524915351,0.0306304539125354,0.0577031783109884,37.06118586,23.68173521,4.403425181,14.02776166,0.572015245,1.882647171,1.731693345
"Bitou",18647.41829,149.4507446,24.703278807343,0.0055216270187321,0.00487487621876905,29.06211308,18.46841145,4.993615099,18.46280651,0.386998314,1.543359884,1.618570988
"Longdong",19380.52448,144.8679352,24.703278807343,0.00786129669478888,0.00693413906627043,34.50514377,20.67484969,4.699844867,15.98312734,0.241450307,0.873596294,2.025974553
"Meiyanshan",21872.39053,142.8326111,24.7677048855141,0.00437809036165459,0.0158010084562399,16.4386013,6.806845557,4.171340832,21.83911506,0.174339962,1.749291604,2.346746977
"825K",35131.81233,149.4507446,24.703278807343,0.00834786966618965,0.00655753535200624,35.79695405,34.08893949,3.13800394,9.242264567,0.354235616,1.360989391,1.311437497
"Chaojing",546875.5467,161.0596924,24.4609836203153,0.00570998696157848,0.0132902699992406,37.43710706,29.69819765,3.66975843,12.2828143,0.488168443,1.838732502,1.463007649
