"Transect","AL_artcal","AL_corfol","AL_cormac","AN_encrusting","AS_eresin","CB_filamentous","CCA","HC_arborescent","HC_bushy","HC_column","HC_encrusting","HC_foliose","HC_massive","HC_tabular","OC_arborescent","OC_bushy","OC_clustered","OC_digitate","OC_encrusting","OC_lobate","OC_massive","Other","SG_hemprichii","SP_encrusting","SP_massive","SP_repbra","Turf","ZO_encrusting","boulss","limess","other_life","rockss","rubbus","sandus","siltus"
"FennT1",0,0,0.00918323557142857,0.00408617976190476,0.00178920819047619,0,0.211583973571429,0,0.0127005487619048,0.00038266019047619,0.150027526095238,0.000810466095238095,0.0339125274761905,0.00105480323809524,0.000790326809523809,0.0104916218095238,0,0.0370064029047619,0,0.0271656768571429,0.000322057428571429,0.0020355670952381,0,0.000709261142857143,0.008474663,0,0.384494908571429,0.00140398719047619,0.00340392357142857,0.00641823861904762,0.000393753047619048,0.0185785049047619,0.0107457579047619,0.0212135707619048,0.040820649952381
"FennT2",0,0,0.00197629423809524,0.00229029614285714,0.000201479380952381,0,0.196155110952381,0,0.00650645361904762,0.000566953666666667,0.199860212666667,0.00111376552380952,0.080306197047619,0.000311086761904762,0.000866588380952381,0.0140100430952381,0,0.0179484815238095,0,0.0761581507142857,0.00661339076190476,0.00862715233333333,0.000359425047619048,0.006275183,0.00742604066666667,0.000265063857142857,0.30017884352381,0.00619575861904762,0.0124678042380952,0.00722044438095238,0.00117178947619048,0.0124758446190476,0.0132473986666667,0.0055978469047619,0.0136069001428571
"FennT3",0,0,0.00526980247619048,0.000748346714285714,0.00180955752380952,0,0.243401382809524,0,0.010434208047619,0.00146933419047619,0.115947919571429,0.000896412571428572,0.0703673621428571,0.000462721333333333,0.00317558642857143,0.00725184033333333,0,0.0483712046190476,0,0.125093328809524,0.00487070604761905,0.00128117223809524,0.000260544285714286,0.00417980371428571,0.00638361795238095,0,0.299963644285714,0.000182887,0.00837245523809524,0.00993605561904762,0.000691377047619048,0.0135582571428571,0.00187163633333333,0.0061974309047619,0.00755140461904762
"FennT4",0,0.000421829523809524,0.000547443714285714,0.00438661595238095,0.000142608,0,0.145172490761905,0,0.003301747,0.000850708047619048,0.133296444047619,0.00131924061904762,0.0306852567619048,0.000212532047619048,0.000440896714285714,0.00963464804761905,0,0.0622347898095238,0,0.0324789942857143,0,0.000227007476190476,0,0.000729044380952381,0,0,0.45555547752381,0.000602792428571429,0.00428607933333333,0.0105447951428571,0,0.0124513084761905,0.00762202214285714,0.0507808119047619,0.0320744157142857
"FennT5",0,0.000422202047619048,0.00165257338095238,0.0116543474285714,6.30150476190476e-05,0,0.178491768380952,0,0.0133446341904762,0.000866220666666667,0.102435376285714,0,0.0270850824761905,0,0,0.012314022047619,0,0.0157096831428571,0,0.0109981914285714,0,0.000730840238095238,0,0.000307359095238095,0,0,0.508314399809524,0.00453100319047619,0.00842236285714286,0.004328976,0.000454677190476191,0.0206872194285714,0.0134529316666667,0.020318572,0.043414541952381
"JiamT1",0.000876979285714286,0.00184675728571429,0.00618128876190476,0.00134658104761905,0.000486468238095238,0,0.199797053047619,0,0.0807774503333333,0.00580130738095238,0.172278494952381,0.0137143408571429,0.0290429373333333,0.00797116004761905,0.00887744952380952,0.0013774229047619,0,0.0283402780952381,0,0.000715420380952381,5.09288095238095e-05,0.0103524505238095,0,0.00197853795238095,0.000561547571428571,0.000669695380952381,0.405214678238095,0.0150362669047619,0.00017578380952381,0.00225816171428571,0.00101065619047619,0.00116228157142857,0.00161850166666667,0.000479120047619048,0
"JiamT2",0,0.000214932952380952,0.00131225666666667,0.00372382580952381,0,0,0.179889375761905,8.96091428571429e-05,0.0349049779523809,0.00301819023809524,0.201364138761905,0.0180908325714286,0.0346666233333333,0.0374315298095238,0.00350682095238095,0.00529442176190476,0,0.0388901951904762,0,0.000630656904761905,0,0.00389610185714286,0,0.00133380095238095,0.000472323761904762,0.000290465333333333,0.390206914238095,0.00716644423809524,0.00176116885714286,0.00156855838095238,0.00195566952380952,0.00912093380952381,0.00310445704761905,0.0146370727142857,0.00145770176190476
"JiamT3",9.63809523809524e-05,0.00117347795238095,0.0272479600952381,0.00906814580952381,0,0,0.164005257333333,0,0.052144957952381,0.00162892366666667,0.195375793809524,0.0039079679047619,0.0265268860952381,0,0.00202902604761905,0.0136458152380952,0,0.026446063,0,0.000626665142857143,0,0.00639329480952381,0,0,0.00306068866666667,0.00202263161904762,0.403001725761905,0.0151397582380952,0.00282184633333333,0.00299003338095238,0.000809421619047619,0.0151852804761905,0.00992572052380952,0.0124422819047619,0.00228399566666667
"JiamT4",0,0,0.00233083080952381,0.00407320604761905,0.000866548428571429,0,0.132369861,0,0.0735270121428571,0.00355360733333333,0.227493284619048,0,0.0530421389047619,0.0071466450952381,0,0.0036100479047619,0,0.0479107207142857,0,0.00609698119047619,0,0.0022651910952381,0,0,0.000347219666666667,0,0.359946108619048,0.0480103648095238,0.00362361938095238,0.00362447576190476,0.00106923452380952,0.00998803761904762,0.0020034199047619,0.00553026619047619,0.00157117819047619
"JiamT5",0,0,0.00227809995238095,0.00517266038095238,0,0,0.14796287,0,0.0421946578571429,0.00143895885714286,0.240610211952381,0.00392108833333333,0.078795196,0,0.00161484157142857,0.0137811570952381,0,0.0494973535714286,0,0.00334551419047619,0,0.000567961333333333,0,0,0.00273411566666667,0,0.340165411238095,0.0257704853333333,0.00158654357142857,0.0106387721428571,0.0029958359047619,0.0163171145238095,0.00338391414285714,0.00408356047619048,0.0011436759047619
"JihuT1",0,0,0.00481448738095238,9.02065714285714e-05,0.000406269142857143,0,0.143889656761905,0.00228783957142857,0.0401211248571429,0.000872898619047619,0.167715309285714,0.0288912668571429,0.0393007471904762,0.0149919490952381,0.00924958357142857,0.00597832371428571,0,0.0160634655714286,0,0.00901525933333333,0,0.00681422938095238,0,0.000472639857142857,0.000273006428571429,0.000295215095238095,0.432536635761905,0,0.000616559619047619,0.000942303952380952,0,0.00419708957142857,0.00147026847619048,0.0628354887142857,0.00585817571428571
"JihuT2",0,0.000224207190476191,0.00265496761904762,0.000350000428571429,0.000258147238095238,0,0.151810497190476,0.00652841319047619,0.0663001017619048,0.0120420837619048,0.168871179619048,0.00901208990476191,0.0756953027142857,0.00335673747619048,0.00563433404761905,0.00370782019047619,0,0.0284777390952381,0.000580388095238095,0.0123924095238095,0.000425655714285714,0.00915441233333333,0,0,0.000540009714285714,0.000142495857142857,0.422104453714286,0.000354279,0.000458164238095238,0.0019197689047619,0.000289246714285714,0.00195111666666667,0.00743025190476191,0.0068138850952381,0.000519841
