Transect,AL_artcal,AL_corfol,AL_cormac,AN_encrusting,AS_eresin,CB_filamentous,CCA,HC_arborescent,HC_bushy,HC_column,HC_encrusting,HC_foliose,HC_massive,HC_tabular,OC_arborescent,OC_bushy,OC_clustered,OC_digitate,OC_encrusting,OC_lobate,OC_massive,SG,SP_encrusting,SP_massive,SP_branching,Turf,ZO_encrusting
FennT1,0,0,0.009183236,0.00408618,0.001789208,0,0.211583974,0,0.012700549,0.00038266,0.150027526,0.000810466,0.033912527,0.001054803,0.000790327,0.010491622,0,0.037006403,0,0.027165677,0.000322057,0,0.000709261,0.008474663,0,0.384494909,0.001403987
FennT2,0,0,0.001976294,0.002290296,0.000201479,0,0.196155111,0,0.006506454,0.000566954,0.199860213,0.001113766,0.080306197,0.000311087,0.000866588,0.014010043,0,0.017948482,0,0.076158151,0.006613391,0.000359425,0.006275183,0.007426041,0.000265064,0.300178844,0.006195759
FennT3,0,0,0.005269802,0.000748347,0.001809558,0,0.243401383,0,0.010434208,0.001469334,0.11594792,0.000896413,0.070367362,0.000462721,0.003175586,0.00725184,0,0.048371205,0,0.125093329,0.004870706,0.000260544,0.004179804,0.006383618,0,0.299963644,0.000182887
FennT4,0,0.00042183,0.000547444,0.004386616,0.000142608,0,0.145172491,0,0.003301747,0.000850708,0.133296444,0.001319241,0.030685257,0.000212532,0.000440897,0.009634648,0,0.06223479,0,0.032478994,0,0,0.000729044,0,0,0.455555478,0.000602792
FennT5,0,0.000422202,0.001652573,0.011654347,6.30E-05,0,0.178491768,0,0.013344634,0.000866221,0.102435376,0,0.027085082,0,0,0.012314022,0,0.015709683,0,0.010998191,0,0,0.000307359,0,0,0.5083144,0.004531003
JiamT1,0.000876979,0.001846757,0.006181289,0.001346581,0.000486468,0,0.199797053,0,0.08077745,0.005801307,0.172278495,0.013714341,0.029042937,0.00797116,0.00887745,0.001377423,0,0.028340278,0,0.00071542,5.09E-05,0,0.001978538,0.000561548,0.000669695,0.405214678,0.015036267
JiamT2,0,0.000214933,0.001312257,0.003723826,0,0,0.179889376,8.96E-05,0.034904978,0.00301819,0.201364139,0.018090833,0.034666623,0.03743153,0.003506821,0.005294422,0,0.038890195,0,0.000630657,0,0,0.001333801,0.000472324,0.000290465,0.390206914,0.007166444
JiamT3,9.64E-05,0.001173478,0.02724796,0.009068146,0,0,0.164005257,0,0.052144958,0.001628924,0.195375794,0.003907968,0.026526886,0,0.002029026,0.013645815,0,0.026446063,0,0.000626665,0,0,0,0.003060689,0.002022632,0.403001726,0.015139758
JiamT4,0,0,0.002330831,0.004073206,0.000866548,0,0.132369861,0,0.073527012,0.003553607,0.227493285,0,0.053042139,0.007146645,0,0.003610048,0,0.047910721,0,0.006096981,0,0,0,0.00034722,0,0.359946109,0.048010365
JiamT5,0,0,0.0022781,0.00517266,0,0,0.14796287,0,0.042194658,0.001438959,0.240610212,0.003921088,0.078795196,0,0.001614842,0.013781157,0,0.049497354,0,0.003345514,0,0,0,0.002734116,0,0.340165411,0.025770485
JihuT1,0,0,0.004814487,9.02E-05,0.000406269,0,0.143889657,0.00228784,0.040121125,0.000872899,0.167715309,0.028891267,0.039300747,0.014991949,0.009249584,0.005978324,0,0.016063466,0,0.009015259,0,0,0.00047264,0.000273006,0.000295215,0.432536636,0
