Region,Site,Transect,Family,Genus,Species,Length,Comment,a,b,MaxSizeTL,Diet,Position,sstmean,Biomass,Kmax,somatic_G,Md,Growth_iter
KT,Tiaoshi,T1,Pomacentridae,Neoglyphidodon,Neoglyphidodon nigroris,7.536951,,0.010088084,3.18,13,Omnivr,BtPlDw,27.39770492,6.212851799,0.614823163,0.024133846,0.004540594,0.023892507
KT,Tiaoshi,T1,Pseudochromidae,Labracinus,Labracinus cyclophthalmus,12.920816,,0.01995,3.01,23.5,FisCep,BtPlDw,27.39770492,44.1494833,0.434183866,0.129479695,0.003157939,0.126890101
KT,Tiaoshi,T1,Pomacentridae,Dascyllus,Dascyllus reticulatus,7.847138,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,14.74707602,0.524037212,0.00973131,0.002135774,0.00973131
KT,Tiaoshi,T1,Pomacentridae,Dascyllus,Dascyllus reticulatus,5.764786,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,5.617084609,0.524037212,0.014167885,0.003508969,0.014167885
KT,Tiaoshi,T1,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,5.240841,,0.0612,2.75,11.6,Omnivr,BtPlDw,27.39770492,5.822428018,0.731443375,0.038977229,0.008228747,0.038587456
KT,Tiaoshi,T1,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,4.869643,,0.0612,2.75,11.6,Omnivr,BtPlDw,27.39770492,4.757387337,0.731443375,0.036286564,0.009261876,0.036286564
KT,Tiaoshi,T2,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon lacrymatus,5.248366,,0.02089,2.98,10,Omnivr,BtPlDw,27.39770492,2.921529647,0.696154952,0.015044782,0.006310099,0.015044782
KT,Tiaoshi,T2,Labridae_Others,Thalassoma,Thalassoma hardwicke,10.400476,,0.0246,2.74,20,InvMob,BtPlDw,27.39770492,15.05431224,0.548981279,0.057288845,0.004489047,0.056715956
KT,Tiaoshi,T2,Pomacentridae,Stegastes,Stegastes sp,8.761799,,0.067094254,3.03,15.2,HerDet,BtPlDw,27.39770492,48.16626633,0.716517001,0.210619882,0.00520086,0.208513683
KT,Tiaoshi,T2,Pomacentridae,Pomacentrus,Pomacentrus coelestis,3.797591,,0.01289,3.07,9,Plktiv,BtPlDw,27.39770492,0.775073804,0.524037212,0.004686174,0.006871195,0.004686174
KT,Tiaoshi,T2,Labridae_Others,Thalassoma,Thalassoma hardwicke,16.923482,,0.0246,2.74,20,InvMob,BtPlDw,27.39770492,57.14746238,0.548981279,0.042791606,0.002049941,0.042791606
KT,Tiaoshi,T2,Labridae_Others,Thalassoma,Thalassoma hardwicke,12.164523,,0.0246,2.74,20,InvMob,BtPlDw,27.39770492,23.12573991,0.548981279,0.061393214,0.003488243,0.061393214
KT,Tiaoshi,T2,Pomacentridae,Amphiprion,Amphiprion clarkii,11.948868,,0.01814123,2.99,20.1,Omnivr,BtPlDw,27.39770492,30.19073916,0.496642843,0.083809403,0.003271294,0.083809403
KT,Tiaoshi,T2,Pomacentridae,Amphiprion,Amphiprion clarkii,11.948868,,0.01814123,2.99,20.1,Omnivr,BtPlDw,27.39770492,30.19073916,0.496642843,0.083809403,0.003271294,0.083809403
KT,Tiaoshi,T2,Labridae_Others,Labropsis,Labropsis manabei,8.839205,,0.00977,3.07,13.7,InvSes,BtPlDw,27.39770492,7.859286249,0.816921413,0.029700898,0.005033867,0.029700898
KT,Tiaoshi,T2,Labridae_Others,Thalassoma,Thalassoma hardwicke,11.338047,,0.0246,2.74,20,InvMob,BtPlDw,27.39770492,19.07084429,0.548981279,0.060057866,0.003906639,0.060057866
KT,Tiaoshi,T2,Labridae_Others,Stethojulis,Stethojulis bandanensis,7.259763,Cf,0.013835238,3.03,15,InvMob,BtPlDw,27.39770492,5.617998807,0.638270557,0.031769417,0.006152621,0.031769417
KT,Tiaoshi,T2,Pomacentridae,Dascyllus,Dascyllus reticulatus,7.190877,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,11.2198436,0.524037212,0.01268066,0.002458225,0.012553853
KT,Tiaoshi,T2,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,6.779358,,0.0612,2.75,11.6,Omnivr,BtPlDw,27.39770492,11.81734692,0.731443375,0.046319362,0.005436955,0.045856168
KT,Tiaoshi,T2,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,4.084524,,0.0612,2.75,11.6,Omnivr,BtPlDw,27.39770492,2.933529202,0.731443375,0.029811905,0.012292255,0.029513786
KT,Tiaoshi,T2,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,4.678045,,0.0612,2.75,11.6,Omnivr,BtPlDw,27.39770492,4.260185489,0.731443375,0.034793922,0.009880198,0.034445983
KT,Tiaoshi,T3,Labridae_Others,Halichoeres,Halichoeres hortulanus,8.250405,,0.013469116,3,27,InvMob,BtPlDw,27.39770492,7.56423294,0.506691396,0.071766284,0.009267258,0.071766284
KT,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon lunulatus,5.443681,,0.01995,3.01,26.7,InvSes,BtPlDw,27.39770492,3.273254921,0.567916244,0.06017864,0.019963763,0.058975067
KT,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,5.956591,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,3.325458233,1.09358114,0.021093281,0.008318747,0.020882348
KT,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon lunulatus,9.081466,,0.01995,3.01,26.7,InvSes,BtPlDw,27.39770492,15.27539128,0.567916244,0.139104789,0.00875787,0.137713741
KT,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,4.46125,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,1.409269569,1.09358114,0.016168292,0.013248884,0.015844926
KT,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,5.286337,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,2.33280254,1.09358114,0.019318867,0.010081498,0.019125678
KT,Tiaoshi,T3,Tetraodontidae,Canthigaster,Canthigaster valentini,9.24194,,0.03667,2.94,11,Omnivr,BtPlDw,27.39770492,25.33112951,0.557570189,0.021630659,0.002331285,0.021630659
KT,Tiaoshi,T3,Pinguipedidae,Parapercis,Parapercis millepunctata,14.744758,,0.00692,3.06,18,InvMob,BnthAs,27.39770492,26.06977606,0.676519632,0.03262664,0.002709788,0.03262664
KT,Tiaoshi,T3,Pseudochromidae,Labracinus,Labracinus cyclophthalmus,13.860627,,0.01995,3.01,23.5,FisCep,BtPlDw,27.39770492,54.53927472,0.434183866,0.135839198,0.002820396,0.135839198
KT,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,5.534327,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,2.673071602,1.09358114,0.020072555,0.009364185,0.019671104
KT,Tiaoshi,T3,Pomacentridae,Pomacentrus,Pomacentrus coelestis,4.190705,,0.01289,3.07,9,Plktiv,BtPlDw,27.39770492,1.04875558,0.524037212,0.005310121,0.005863518,0.00525702
KT,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon trifascialis,11.814261,,0.0468,2.76,18,InvSes,BtPlDw,27.39770492,42.66659265,0.431715712,0.072923375,0.0024705,0.072194142
KT,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,6.03797,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,3.462216423,1.09358114,0.021247825,0.008138979,0.021035346
KT,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,4.413678,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,1.365104841,1.09358114,0.015962789,0.013479548,0.015483905
KT,Tiaoshi,T3,Labridae_Others,Hologymnosus,Hologymnosus annulatus,4.599613,,0.00977,3.07,40,FisCep,BtPlDw,27.39770492,1.057910512,0.274453789,0.01890101,0.022647665,0.017577939
KT,Tiaoshi,T3,Labridae_Others,Hologymnosus,Hologymnosus annulatus,4.291165,,0.00977,3.07,40,FisCep,BtPlDw,27.39770492,0.854870775,0.274453789,0.016521942,0.025325535,0.016521942
KT,Tiaoshi,T3,Pomacentridae,Dascyllus,Dascyllus reticulatus,2.724692,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,0.538025791,0.524037212,0.00558406,0.011726797,0.00558406
KT,Tiaoshi,T3,Labridae_Others,Gomphosus,Gomphosus varius,4.148279,,0.00262693,3.13,35.1,InvMob,BtPlDw,27.39770492,0.225618762,0.34985736,0.005086617,0.028244569,0.004984885
KT,Tiaoshi,T3,Ptereleotridae,Ptereleotris,Ptereleotris evides,12.222549,,0.00389,3.12,14,Plktiv,BtPlDw,27.39770492,9.591673276,0.639692575,0.007622545,0.002413428,0.007622545
KT,Tiaoshi,T3,Ptereleotridae,Ptereleotris,Ptereleotris evides,14,,0.00389,3.12,14,Plktiv,BtPlDw,27.39770492,14.65106087,0.639692575,0,0.00193954,0
KT,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon baronessa,9.1047,,0.0448,2.83,16,InvSes,BtPlDw,27.39770492,23.22735599,0.506586403,0.069111509,0.003721669,0.068420394
KT,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon baronessa,9.1047,,0.0448,2.83,16,InvSes,BtPlDw,27.39770492,23.22735599,0.506586403,0.069111509,0.003721669,0.069111509
KT,Tiaoshi,T4,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,7.449469,,0.0612,2.75,11.6,Omnivr,BtPlDw,27.39770492,15.314261,0.731443375,0.047020108,0.004671405,0.046549907
KT,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,5.599095,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,2.767056721,1.09358114,0.020251576,0.009190405,0.020251576
KT,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.854849,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,1.811548627,1.09358114,0.017778971,0.011562758,0.017778971
KT,Tiaoshi,T4,Pseudochromidae,Labracinus,Labracinus cyclophthalmus,11.014972,,0.01995,3.01,23.5,FisCep,BtPlDw,27.39770492,27.30944829,0.434183866,0.110916482,0.004083074,0.110916482
KT,Tiaoshi,T4,Labridae_Others,Bodianus,Bodianus mesothorax,8.079986,,0.0123,3.05,25,InvMob,BtPlDw,27.39770492,7.202901349,0.359443232,0.04537726,0.00608558,0.044923487
KT,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,8.24218,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,17.19773836,0.524037212,0.007101632,0.001973389,0.007101632
KT,Tiaoshi,T4,Zanclidae,Zanclus,Zanclus cornutus,10.624526,,0.01738,3.06,23,InvSes,BtPlDw,27.39770492,24.01911696,0.493764713,0.115922679,0.004771103,0.115922679
KT,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,7.402686,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,12.28706563,0.524037212,0.011909518,0.002345976,0.011790423
KT,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,6.746812,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,9.190480668,0.524037212,0.013789881,0.002723903,0.013789881
KT,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,7.263104,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,11.57636638,0.524037212,0.012436105,0.002418987,0.012311744
KT,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,5.804291,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,5.738448748,0.524037212,0.014199719,0.003470598,0.014057721
KT,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,5.620052,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,5.18736522,0.524037212,0.014022241,0.003655599,0.014022241
KT,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.823847,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,1.777406877,1.09358114,0.017658532,0.011682634,0.016952191
KT,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,8.593759,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,19.59985705,0.524037212,0.004160895,0.001845039,0.004160895
KT,Tiaoshi,T4,Chaetodontidae,Chaetodon,Chaetodon baronessa,10.577955,,0.0448,2.83,16,InvSes,BtPlDw,27.39770492,35.50870778,0.506586403,0.071486576,0.002923268,0.07077171
KT,Tiaoshi,T4,Chaetodontidae,Chaetodon,Chaetodon baronessa,10.434347,,0.0448,2.83,16,InvSes,BtPlDw,27.39770492,34.16132784,0.506586403,0.071569056,0.002988315,0.071569056
KT,Tiaoshi,T4,Pomacentridae,Neoglyphidodon,Neoglyphidodon nigroris,8.518579,,0.010088084,3.18,13,Omnivr,BtPlDw,27.39770492,9.170145955,0.614823163,0.025844175,0.003728264,0.025585733
KT,Tiaoshi,T4,Acanthuridae,Acanthurus,Acanthurus nigrofuscus,13.668316,Cf,0.02512,2.96,21,HerDet,BtPlDw,27.39770492,57.77448288,0.579953074,0.145758509,0.00327685,0.145758509
KT,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.940766,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,1.908433874,1.09358114,0.018106354,0.011240757,0.017744227
KT,Tiaoshi,T4,Acanthuridae,Acanthurus,Acanthurus sp,13.889086,,0.021503608,2.99,23,HerDet,BtPlDw,27.39770492,56.11844142,0.566676766,0.170926813,0.003557034,0.170926813
KT,Tiaoshi,T4,Acanthuridae,Acanthurus,Acanthurus sp,13.889086,,0.021503608,2.99,23,HerDet,BtPlDw,27.39770492,56.11844142,0.566676766,0.170926813,0.003557034,0.167508277
KT,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.219114,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,1.194029978,1.09358114,0.015102071,0.01449433,0.014800029
KT,Tiaoshi,T4,Labridae_Others,Thalassoma,Thalassoma hardwicke,7.171438,,0.0246,2.74,20,InvMob,BtPlDw,27.39770492,5.436210023,0.548981279,0.040139497,0.008167399,0.039738102
KT,Tiaoshi,T4,Pomacanthidae,Centropyge,Centropyge vrolikii,6.777934,,0.0309,2.88,12,HerDet,BtPlDw,27.39770492,7.64748803,1.10198313,0.051266154,0.008603959,0.050753493
KT,Tiaoshi,T4,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,6.461067,,0.0612,2.75,11.6,Omnivr,BtPlDw,27.39770492,10.35352162,0.731443375,0.045399092,0.005874616,0.045399092
