Region,Site,Transect,Family,Genus,Species,Length,Comment,a,b,MaxSizeTL,Diet,Position,sstmean,Biomass,Kmax,Kmax_lowq,Kmax_uppq,somatic_G,Md,Fate
Trop3,Tiaoshi,T1,Pomacentridae,Neoglyphidodon,Neoglyphidodon nigroris,7.536951,,0.01905,2.99,13,Omnivr,BtPlDw,27.36245903,7.993005255,0.825639009,0.730142459,0.927149922,0.039204367,0.006097512,TRUE
Trop3,Tiaoshi,T1,Pseudochromidae,Labracinus,Labracinus cyclophthalmus,12.920816,,0.01995,3.01,23.5,FisCep,BtPlDw,27.36245903,44.1494833,0.484550461,0.413330629,0.532147989,0.144506131,0.003524269,TRUE
Trop3,Tiaoshi,T1,Pomacentridae,Dascyllus,Dascyllus reticulatus,7.847138,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,13.96869926,0.726795018,0.5995951,0.845137373,0.012209735,0.002962137,TRUE
Trop3,Tiaoshi,T1,Pomacentridae,Dascyllus,Dascyllus reticulatus,5.764786,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,5.555343887,0.726795018,0.5995951,0.845137373,0.018563978,0.004866641,TRUE
Trop3,Tiaoshi,T1,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,5.240841,,0.01995,2.98,11.6,Omnivr,BtPlDw,27.36245903,2.778163699,1.006149352,0.867740974,1.124909282,0.02774465,0.011319193,TRUE
Trop3,Tiaoshi,T1,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,4.869643,,0.01995,2.98,11.6,Omnivr,BtPlDw,27.36245903,2.231949318,1.006149352,0.867740974,1.124909282,0.025400804,0.01274033,TRUE
Trop3,Tiaoshi,T2,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon lacrymatus,5.248366,,0.0195,2.99,10,Omnivr,BtPlDw,27.36245903,2.772724439,0.927768379,0.798882291,1.147788346,0.019097847,0.008409494,TRUE
Trop3,Tiaoshi,T2,Labridae,Thalassoma,Thalassoma hardwicke,10.400476,,0.00955,3.05,20,InvMob,BtPlDw,27.36245903,12.07857446,0.611157715,0.524100289,0.698375955,0.056976545,0.004997467,TRUE
Trop3,Tiaoshi,T2,Pomacentridae,Stegastes,Stegastes sp,8.761799,,0.01829,3.03,15.2,HerDet,BtPlDw,27.36245903,13.13020063,0.898792356,0.760568425,1.041911691,0.072030018,0.006523911,TRUE
Trop3,Tiaoshi,T2,Pomacentridae,Pomacentrus,Pomacentrus coelestis,3.797591,,0.01445,2.95,9,Plktiv,BtPlDw,27.36245903,0.740315779,0.726795018,0.5995951,0.845137373,0.005967267,0.009529762,TRUE
Trop3,Tiaoshi,T2,Labridae,Thalassoma,Thalassoma hardwicke,16.923482,,0.00955,3.05,20,InvMob,BtPlDw,27.36245903,53.32084573,0.611157715,0.524100289,0.698375955,0.049476489,0.002282113,TRUE
Trop3,Tiaoshi,T2,Labridae,Thalassoma,Thalassoma hardwicke,12.164523,,0.00955,3.05,20,InvMob,BtPlDw,27.36245903,19.47795586,0.611157715,0.524100289,0.698375955,0.064089973,0.003883314,TRUE
Trop3,Tiaoshi,T2,Pomacentridae,Amphiprion,Amphiprion clarkii,11.948868,,0.02344,2.99,20.1,Omnivr,BtPlDw,27.36245903,39.00898319,0.547908992,0.491574541,0.637776539,0.119469959,0.003608974,TRUE
Trop3,Tiaoshi,T2,Pomacentridae,Amphiprion,Amphiprion clarkii,11.948868,,0.02344,2.99,20.1,Omnivr,BtPlDw,27.36245903,39.00898319,0.547908992,0.491574541,0.637776539,0.119469959,0.003608974,TRUE
Trop3,Tiaoshi,T2,Labridae,Labropsis,Labropsis manabei,8.839205,,0.00955,3.06,13.7,InvSes,BtPlDw,27.36245903,7.516709783,1.094040573,0.959426507,1.199142486,0.037920075,0.006741474,TRUE
Trop3,Tiaoshi,T2,Labridae,Thalassoma,Thalassoma hardwicke,11.338047,,0.00955,3.05,20,InvMob,BtPlDw,27.36245903,15.71610939,0.611157715,0.524100289,0.698375955,0.061346274,0.004349096,TRUE
Trop3,Tiaoshi,T2,Labridae,Stethojulis,Stethojulis bandanensis,7.259763,Cf,0.01,3,15,InvMob,BtPlDw,27.36245903,3.826197021,0.822381467,0.727121815,0.942847729,0.027609171,0.007927362,TRUE
Trop3,Tiaoshi,T2,Pomacentridae,Dascyllus,Dascyllus reticulatus,7.190877,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,10.75838227,0.726795018,0.5995951,0.845137373,0.016106731,0.003409349,TRUE
Trop3,Tiaoshi,T2,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,6.779358,,0.01995,2.98,11.6,Omnivr,BtPlDw,27.36245903,5.982529296,1.006149352,0.867740974,1.124909282,0.034964706,0.007478895,TRUE
Trop3,Tiaoshi,T2,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,4.084524,,0.01995,2.98,11.6,Omnivr,BtPlDw,27.36245903,1.321735114,1.006149352,0.867740974,1.124909282,0.020050387,0.016908821,TRUE
Trop3,Tiaoshi,T2,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,4.678045,,0.01995,2.98,11.6,Omnivr,BtPlDw,27.36245903,1.980317373,1.006149352,0.867740974,1.124909282,0.024134408,0.013590874,TRUE
